id,first_name,last_name,email,phone,gender,age,job_title,years_of_experience,salary,department,Hire Date,Full Name,Designation,Phone
1,Jose,Lopez,joselopez0944@slingacademy.com,+1-971-533-4552x1542,male,25,Project Manager,1,8500,Product,2021-12-01,Jose Lopez,System Engineer,Invalid Number
2,Diane,Carter,dianecarter1228@slingacademy.com,881.633.0107,female,26,Machine Learning Engineer,2,7000,Product,2018-05-10,Diane Carter,System Engineer,881.633.0107
3,Shawn,Foster,shawnfoster2695@slingacademy.com,001-966-861-0065x493,male,37,Project Manager,14,17000,Product,2019-09-15,Shawn Foster,Lead,Invalid Number
4,Brenda,Fisher,brendafisher3185@slingacademy.com,001-574-564-4648,female,31,Web Developer,8,10000,Product,2021-12-01,Brenda Fisher,Senior Data Engineer,001-574-564-4648
5,Sean,Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,2022-04-30,Sean Hunter,Lead,5838355842
6,Joshua,Jacobs,joshuajacobs5904@slingacademy.com,053-913-2609,male,28,Project Manager,3,10500,Product,2021-12-01,Joshua Jacobs,Data Engineer,053-913-2609
7,Brianna,Marshall,briannamarshall6438@slingacademy.com,701-932-8553,female,33,Machine Learning Engineer,10,11000,Product,2019-09-15,Brianna Marshall,Senior Data Engineer,701-932-8553
8,John,Tate,johntate7881@slingacademy.com,001-889-992-5260x62725,male,33,Mobile Developer,10,11000,Product,2022-04-30,John Tate,Senior Data Engineer,Invalid Number
9,Jillian,Byrd,jillianbyrd8170@slingacademy.com,077-635-0084x1647,female,34,Web Developer,10,11000,Product,2018-05-10,Jillian Byrd,Senior Data Engineer,Invalid Number
10,Melanie,Sharp,melaniesharp9256@slingacademy.com,(848)212-0230,female,41,Web Developer,15,14500,Product,2019-09-15,Melanie Sharp,Lead,(848)212-0230
11,Brandy,Mckee,brandymckee10500@slingacademy.com,001-085-315-6112x464,female,37,Web Developer,14,14000,Product,2022-04-30,Brandy Mckee,Lead,Invalid Number
12,Robert,Simpson,robertsimpson11778@slingacademy.com,496-469-5331x659,male,36,DevOps Engineer,12,15000,Product,2020-07-20,Robert Simpson,Lead,Invalid Number
13,George,Mckenzie,georgemckenzie12384@slingacademy.com,(843)416-2489,male,28,Machine Learning Engineer,4,10000,Product,2019-09-15,George Mckenzie,Data Engineer,(843)416-2489
14,Joseph,Smith,josephsmith13724@slingacademy.com,+1-380-230-4166,male,40,Machine Learning Engineer,14,14000,Product,2022-04-30,Joseph Smith,Lead,+1-380-230-4166
15,Dana,Crawford,danacrawford14310@slingacademy.com,(848)716-0019x0240,female,32,Project Manager,8,12000,Product,2019-09-15,Dana Crawford,Senior Data Engineer,Invalid Number
16,Christopher,Benson,christopherbenson15937@slingacademy.com,+1-368-801-2914x8616,male,29,Web Developer,5,7500,Product,2019-09-15,Christopher Benson,Data Engineer,Invalid Number
17,Nicole,Smith,nicolesmith16360@slingacademy.com,289.372.5080x2156,female,26,Designer,4,10000,Product,2018-05-10,Nicole Smith,Data Engineer,Invalid Number
18,Peter,Jimenez,peterjimenez17791@slingacademy.com,001-535-827-3787x317,male,28,Mobile Developer,3,6500,Product,2018-05-10,Peter Jimenez,Data Engineer,Invalid Number
19,Sergio,Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,2018-05-10,Sergio Boyle,Senior Data Engineer,3027626274
20,Brianna,Moss,briannamoss19517@slingacademy.com,+1-529-287-4857x163,female,31,Designer,5,10500,Product,2019-09-15,Brianna Moss,Data Engineer,Invalid Number
21,Taylor,Garner,taylorgarner20196@slingacademy.com,931-244-1612x38767,female,32,Machine Learning Engineer,6,11000,Product,2022-04-30,Taylor Garner,Senior Data Engineer,Invalid Number
22,Michael,Padilla,michaelpadilla21381@slingacademy.com,(787)446-1738,male,29,Tester,5,9500,Product,2019-09-15,Michael Padilla,Data Engineer,(787)446-1738
23,Yvette,Walker,yvettewalker22744@slingacademy.com,154-489-0248,female,26,Designer,2,7000,Product,2022-04-30,Yvette Walker,System Engineer,154-489-0248
24,Kristina,Pena,kristinapena23750@slingacademy.com,+1-099-174-5458x294,female,34,DevOps Engineer,11,12500,Product,2021-12-01,Kristina Pena,Lead,Invalid Number
25,Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,+1-357-911-9617x44729,female,36,Machine Learning Engineer,10,13000,Product,2018-05-10,Vanessa Reynolds,Senior Data Engineer,Invalid Number
26,Robert,Suarez,robertsuarez25924@slingacademy.com,+1-121-053-2698x314,male,33,Tester,9,9500,Product,2022-04-30,Robert Suarez,Senior Data Engineer,Invalid Number
27,Tammy,Ellis,tammyellis26570@slingacademy.com,029.476.5817x88014,female,37,HR Manager,14,14000,Human Resource,2020-07-20,Tammy Ellis,Lead,Invalid Number
28,Rodney,Porter,rodneyporter27496@slingacademy.com,+1-508-187-4826,male,28,DevOps Engineer,3,9500,Product,2018-05-10,Rodney Porter,Data Engineer,+1-508-187-4826
29,David,Reyes,davidreyes28592@slingacademy.com,(725)355-0896x3876,male,25,Designer,2,7000,Product,2022-04-30,David Reyes,System Engineer,Invalid Number
30,Brian,Kirby,briankirby29574@slingacademy.com,458.110.0220x9710,male,31,Machine Learning Engineer,8,10000,Product,2021-12-01,Brian Kirby,Senior Data Engineer,Invalid Number
31,Tammy,Walker,tammywalker30386@slingacademy.com,+1-810-034-9706x602,female,31,Web Developer,7,8500,Product,2018-05-10,Tammy Walker,Senior Data Engineer,Invalid Number
32,Angela,Stewart,angelastewart31951@slingacademy.com,745-157-5520,female,34,HR Manager,10,10000,Human Resource,2018-05-10,Angela Stewart,Senior Data Engineer,745-157-5520
33,Susan,Parker,susanparker32865@slingacademy.com,255.599.0102,female,25,DevOps Engineer,3,8500,Product,2021-12-01,Susan Parker,Data Engineer,255.599.0102
34,Robert,Hogan,roberthogan33599@slingacademy.com,1138662041,male,24,Tester,2,7000,Product,2018-05-10,Robert Hogan,System Engineer,1138662041
35,Dawn,Pham,dawnpham34908@slingacademy.com,(106)836-9118x102,female,27,Designer,4,9000,Product,2018-05-10,Dawn Pham,Data Engineer,Invalid Number
36,Karen,Duke,karenduke35869@slingacademy.com,622.245.2756,female,29,DevOps Engineer,6,11000,Product,2018-05-10,Karen Duke,Senior Data Engineer,622.245.2756
37,Julian,Thompson,julianthompson36437@slingacademy.com,392.181.9671x23227,male,28,Machine Learning Engineer,4,7000,Product,2019-09-15,Julian Thompson,Data Engineer,Invalid Number
38,Daisy,Perry,daisyperry37789@slingacademy.com,+1-921-685-9612x0086,female,30,Tester,5,9500,Product,2018-05-10,Daisy Perry,Data Engineer,Invalid Number
39,Sarah,Smith,sarahsmith38793@slingacademy.com,(110)771-1347x58805,female,24,Machine Learning Engineer,2,6000,Product,2022-04-30,Sarah Smith,System Engineer,Invalid Number
40,Eric,Randolph,ericrandolph39291@slingacademy.com,001-048-278-1814x8904,male,29,Designer,5,8500,Product,2019-09-15,Eric Randolph,Data Engineer,Invalid Number
41,William,Keller,williamkeller40838@slingacademy.com,903-521-4220x53915,male,30,Web Developer,4,8000,Product,2020-07-20,William Keller,Data Engineer,Invalid Number
42,George,Salas,georgesalas41217@slingacademy.com,088.890.2450x1927,male,35,Web Developer,11,10500,Product,2018-05-10,George Salas,Lead,Invalid Number
43,Alyssa,Archer,alyssaarcher42600@slingacademy.com,001-335-037-7267x43704,female,35,DevOps Engineer,13,15500,Product,2019-09-15,Alyssa Archer,Lead,Invalid Number
44,Daniel,Wagner,danielwagner43907@slingacademy.com,001-038-830-2184x508,male,35,HR Manager,11,12500,Human Resource,2022-04-30,Daniel Wagner,Lead,Invalid Number
45,David,Howard,davidhoward44518@slingacademy.com,(940)475-4836,male,33,Machine Learning Engineer,9,11500,Product,2019-09-15,David Howard,Senior Data Engineer,(940)475-4836
46,Brett,Friedman,brettfriedman45236@slingacademy.com,+1-548-885-3476x195,male,34,HR Manager,10,10000,Human Resource,2021-12-01,Brett Friedman,Senior Data Engineer,Invalid Number
47,Shaun,Harris,shaunharris46875@slingacademy.com,(279)621-2475,male,23,Designer,1,6500,Product,2021-12-01,Shaun Harris,System Engineer,(279)621-2475
48,Jason,Morris,jasonmorris47229@slingacademy.com,001-588-064-2677x4053,male,28,DevOps Engineer,5,9500,Product,2018-05-10,Jason Morris,Data Engineer,Invalid Number
49,Jesse,Mcdaniel,jessemcdaniel48348@slingacademy.com,600-434-1206x901,male,35,Mobile Developer,11,11500,Product,2018-05-10,Jesse Mcdaniel,Lead,Invalid Number
50,Jessica,Torres,jessicatorres49971@slingacademy.com,547-005-1763x2506,female,33,HR Manager,7,9500,Human Resource,2020-07-20,Jessica Torres,Senior Data Engineer,Invalid Number
51,Bradley,Garcia,bradleygarcia50896@slingacademy.com,(267)794-5965,male,29,Designer,3,6500,Product,2019-09-15,Bradley Garcia,Data Engineer,(267)794-5965
52,Christopher,Walker,christopherwalker51808@slingacademy.com,954.740.2159,male,25,Mobile Developer,1,5500,Product,2020-07-20,Christopher Walker,System Engineer,954.740.2159
53,Jason,Boyd,jasonboyd52182@slingacademy.com,001-199-903-4307x52539,male,39,Designer,14,15000,Product,2019-09-15,Jason Boyd,Lead,Invalid Number
54,Colleen,Cooper,colleencooper53362@slingacademy.com,001-075-516-4089x887,female,32,Machine Learning Engineer,7,10500,Product,2019-09-15,Colleen Cooper,Senior Data Engineer,Invalid Number
55,Laurie,Robinson,laurierobinson54980@slingacademy.com,989.611.2546,female,38,Mobile Developer,15,13500,Product,2022-04-30,Laurie Robinson,Lead,989.611.2546
56,Tiffany,Novak,tiffanynovak55365@slingacademy.com,528-213-5280x73418,female,35,Mobile Developer,12,12000,Product,2021-12-01,Tiffany Novak,Lead,Invalid Number
57,Sophia,Coleman,sophiacoleman56563@slingacademy.com,101.121.4803x8420,female,40,Tester,15,13500,Product,2022-04-30,Sophia Coleman,Lead,Invalid Number
